,Unnamed: 0,id,campaign_disc_ele,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_first_activ,date_modif_prod,date_renewal,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,activity_apd,activity_ckf,activity_clu,activity_cwo,activity_fmw,activity_kkk,activity_kwu,activity_sfi,activity_wxe
0,0,48ada52261e7cf58715202705a0451c9,,309275,0,10025,2012-11-07,2016-11-06,,2012-11-07,2015-11-09,,,,,26520.3,10025,0.0,359.29,0.095919,0.088347,58.99595196,0,831.8,-41.76,-41.76,1,1732.36,3,180.0,0,0,0,0,0,0,0,0,0
1,1,24011ae4ebbe3035111d65fa7c15bc57,,0,54946,0,2013-06-15,2016-06-15,,,2015-06-23,,,,,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,1,0.0,25.44,25.44,2,678.99,3,43.648,0,0,0,0,0,0,0,0,0
2,2,d29c2c54acc38ff3c0614d0a653813dd,,4660,0,0,2009-08-21,2016-08-30,,2009-08-21,2015-08-31,,,,,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,0,0.0,16.38,16.38,1,18.89,6,13.8,0,0,0,0,0,0,0,0,0
3,3,764c75f661154dac3a6c254cd082ea7d,,544,0,0,2010-04-16,2016-04-16,,2010-04-16,2015-04-17,,,,,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,0,0.0,28.6,28.6,1,6.6,6,13.856,0,0,0,0,0,0,0,0,0
4,4,bba03439a292a1e166f80264c16191cb,,1584,0,0,2010-03-30,2016-03-30,,2010-03-30,2015-03-31,,,,,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,0,0.0,30.22,30.22,1,25.46,6,13.2,0,0,0,0,0,0,0,0,0
5,5,568bb38a1afd7c0fc49c77b3789b59a3,,121335,0,12400,2010-04-08,2016-04-08,2010-04-08,2010-04-08,2015-04-12,1399.83,1399.83,14559.74,1052.37,10865.02,12400,0.0,170.74,0.1100829999999999,0.093746,40.606701,0,1052.37,-3.18,-3.18,1,823.18,6,75.0,0,0,0,0,0,0,0,1,0
6,6,149d57cf92fc41cf94415803a877cb4b,,4425,0,526,2010-01-13,2016-03-07,,2010-01-13,2015-03-09,,,,,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,0,52.32,44.91,44.91,1,47.98,6,19.8,0,0,0,0,0,0,0,0,0
7,7,1aa498825382410b098937d65c4ec26d,,8302,0,1998,2011-12-09,2016-12-09,2011-12-09,2015-11-01,2015-12-10,290.1,290.1,1412.54,181.21,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,0,181.21,33.12,33.12,1,118.89,4,13.2,0,0,0,0,0,0,0,0,0
8,8,7ab4bf4878d8f7661dfc20e9b8e18011,,45097,0,0,2011-12-02,2016-12-02,,2011-12-02,2015-12-03,,,,,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,0,0.0,4.04,4.04,1,346.63,4,15.0,0,0,0,0,0,0,0,0,0
9,9,01495c955be7ec5e7f3203406785aae0,,29552,0,1260,2010-04-21,2016-04-21,2010-04-21,2010-04-21,2015-04-22,248.79,248.79,2720.29,70.63,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,0,70.63,53.92,53.92,1,100.09,6,26.4,0,0,0,0,0,0,0,0,0
